id,name,character_groups,character_ids,event_ids,artifact_ids,size,themes,importance,gm_actions,text_npc_first_message,after_jump,locked,description,gm_notes,copy_from_characters
28,Gray Scorpio,,"Hali Okuma, Lonnie Gordon, Hino Seiryo, Jude Gardner, Vic Garrett, Homura Denbe, Terry Marsh, Leigh Kent, Yuri Mills, Raul Fant, Roger Hammer, Dayle Rogers, Yin Laurence, Lila Laurence, Maron Richard, Nickie Ramirez, Jill Montoya",,,Large,"Gray Scorpio, Terrorism",Mandatory,Text NPC,TRUE,,FALSE,"Gray Scorpio consists of loosely associated groups ranging from activists to violent terrorist groups that share the common goal of opposing existing political structures. Dayle Rogers' parents (Hali Okuma's friends) Yin and Lila Laurence were part of Gray Scorpio and executed for treason when caught.
Gray Scoprio has a pirate radio Gray Radio (see more on plot Gray Radio).
What Gray Scorpio has done: 
- Bombing in an administration building: 10 months ago Jude Gardner asked Lonnie, who asked Nickie Ramirez, to deliver a package to a restricted building. The package was a bomb which was suppose to kill some politicians. Assistants of Leigh Kent (Roger Hammer) and Yuri Mills (Raul Fant) died.
- Assassination attempt against the Emperor (Maron Richard)",,
29,The history of Velians,,"The Guardian, Jardan, Taelor, Aedan, Saria, Zaera,  Mael, Keana, Tarai, Anix, Nayel, Naethan, Jaeco, Briya",,,Large,History,Mandatory,No need,FALSE,,FALSE,,,
30,The death of Reiss and Yves Bennett (NPCs),Law Enforcement,"Reiss Bennett, Yves Bennett, Kara Bennett, Hedly Walker, Ashlin Hall, Pax Houghton",,,Small,Death of NPC,Nice to have,Text NPC,TRUE,8,FALSE,"Reiss ""the Rat"" Bennet and Yves Bennett are siblings of Kara Bennet.
Reiss, also known as ""The Rat,"" tragically lost their life in a training flight accident. The incident occurred after Hedly Walker, nicknamed 
""The Spacehead,"" and Reiss had been drinking the night before the test flight. Despite completing the initial obstacle courses without issue, 
Spacehead reported computer malfunctions and attempted to switch to manual control. Unfortunately, this led to a collision between Spacehead's fighter and Reiss's, resulting in Reiss crashing into a communication satellite and dying instantly. Despite claims that the computer was at fault, Spacehead was discharged dishonorably for flying under the influence and causing Reiss's death. Despite Ashley Hall's and other frieds' efforts to defend Spacehead's actions, their career was over, and Reiss's death left a profound impact on those who knew them.

The death of Yves Bennett
Around 3 years ago Hedly and navigator Yves Bennett were transporting ZW money. The job was boring so they ended up drinking and eventually crashed the ship and the cash burned to ashes. Pax Houghton, ""the Spider"", shot Yves as a warning to Hedly ""Let this be a warning to you, a heavy warning"". The identity of the Spider is a closely-kept secret. You think that hearing Pax’s identity was part of a threat.",If GMs have time they can send a message to Hedly Walker as Karen Bennett to ask about what realy happened to their siblings.,
31,Cyber attack against Purity,"Purity, Police","Ator Davis, Lana Chan, Elan Nieze, Ismy Arima",,,Small,"Purity, Cyber attack",Should have,Text NPC,TRUE,7,FALSE,"On the day of the attack huge amounts of Purity’s funds suddenly started to be transferred into various charity organizations. The incident got into the headlines all over Ellarion. Purity claimed that it was a cyber attack, but no confirmation was yet issued, but a huge amount of Ellarion police cyber unit’s resources was tied to looking into the case. 
Lynn Ryan and Lana Chan hacked into Purity’s accounts and reroute everything they could into several charities.
Ismy Arima knows that Lynn Ryan was involved in this.",If this doesn't come up during the game Elan Nieze can start asking about this from Lynn. Or Lana Chan can send a message saying that Purity is close to finding out who were behind this.,
32,Secret identity of Ator and Jona Davis,Security,"Ator Davis, Jona Davis, Lynn Ryan, Nico Lawrence, Caden Andrews, Leigh Kent, Heath Steele, Jill Montoya, Jonah Malone",,,Small,Secret identity,Mandatory,No need,FALSE,,FALSE,"In the aftermath of the Machine attack Lynn Ryan assumed a false identity as painter Ator Davis and ended up forming a strange partnership with their one night stand who now pretends to be ‘their spouse’ writer Jona Davis (Nico Lawrence).

Who knows Lynn Ryan: Deron Richards, Noe Walker, Ismy Arima, Jose Cain

Who knows them as Ator&Jona or has heard only of the real Ator / Jona Davis but don't know what they look like: Leigh Kent, Caden Andrews, Jonah Malone

Heath Steele met Jona years ago (didn't catch their name) when Jona saved Heath from airlock.

Who knows Nico Lawrence: Jill Montoya",,"Ator Davis
It was pure chaos and terror. You don’t remember much of it, since the most primitive feelings of survival took over. By a complete coincidence, you sought safety inside the same spaceport as your fling from the previous night. Since they were the only familiar face you saw, you went to greet them. At that moment, someone came up to you. “If you could just state your names… we are trying to keep track of the survivors”, they said, holding some papers. Terror crept up your back and you felt the panic inside you rise; you had not thought of any escape route, alibi or identity, how could you have? And you could absolutely not give them your own name, no; the attacks were your possibility of disappearing, not being the spoiled heir of the Purity dynasty you had seeked to destroy. Suddenly, your fling got you out of the trouble; they introduced you two as Ator and Jona Davis, the famous (but elusive) artist couple. “THE Davis couple? The painter and the writer?” the person with the paper exclaimed. “Yes. If you don’t mind, I would like to have some time with my partner”, your fling, ‘Jona’, said coolly, looking at you. After a time that seemed like an eternity, the person with the forms rustled away, leaving you two alone. While they moved further ‘Jona’ discreetly put the ID of Ator Davis to your hand. Where did they get it? "
33,Purity contacts/informants,"Purity, Law Enforcement","Angel Buchanan, Abe Arima, Leone Mills, Roman Plichata, Yuri Mills, Corey Mills",,,Small,"Informants, Purity",Nice to have,Text NPC,TRUE,6,FALSE,"Both Leone Mills and Abe Arima reports back to Angel Buchanan about stuff which might be interesting to Purity.
Roman Plichata is also a Purity member. Leone got assignments also from Roman. Roman worked with Leone on the Kent hit. Roman also gave Yuri Mills instructions regarding their rise to the leadership of the party. Roman knows what happened to Richard Tremor.
Angel Buchanan worked on the Arima hit with Leone and knows that Purity wanted Abe to come back to them.
Corey Mills is the father of Leone and Yuri Mills and trained Leone to be a killer. ","Angel can send Leone or Abe messages to ask do they have anything new to report. 
Roman can send Leone a message asking any reports or giving assignments.
Corey Mills should assing something for Leone and Abe to do!",
34,Blue Party agenda,Politicians,"Asano Akoto, Raisa Andreevna, Quinn Cole, Jonah Malone, Espen Nakahara, Yera Romero",,,Large,"Politics, Blue Party",Mandatory,Briefing NPCs,,,FALSE,,,
35,Yellow Party agenda,Politicians,"Arturo Watson, Clancy Milton, Leigh Kent, Harper Ellis, Jin Komatsu, Jose Cain, Nikita Watson, Osha Green, Valerian Fukui",,,Large,"Politics, Yellow Party",Mandatory,Briefing NPCs,,,FALSE,,,
36,Purple Party agenda,Politicians,"Jaden Hill, Okane Yakovna, Caden Andrews, Dallan Jordan, Fenix Ellis, Hayden Carson, Kai Rogers, Zyra Lee, Ballard Case",,,Large,"Politics, Purple Party",Mandatory,Briefing NPCs,,,FALSE,,,
37,Kidnapping of Jovian Aurelios Cauruleos,,"Shae Thomas, Jovian Aurelios Cauruleos, Lane Thomas, Lane Hayakawa, Kerrie Ray, Juno Aurelios Cauruleos, Farron Washington, Glen Hollow, Julia Aurelios Cauruleos, Jordan Washington, Isha Hayakawa, Marcio Augustos Cauruleos",,,Medium,"Imperial blood, Kidnapping",Should have,No need,FALSE,,TRUE,"The Emperor Aurelia’s child and heir Jovian Aurelios Cauruleos was kidnapped over 20 years ago at the age of one. No ransom demands were ever delivered and regardless of extensive search parties and hundreds of interrogations Jovian was never found and the disappearance remained a mystery.  
Jovian was kidnapped as a child and never found. It was a real scandal. Jovian is now known as Shae Thomas. 
Lane Thomas adopted an unwanted baby they found in a crashed spaceship, named them Shae and raised them as their own child. Later Lane found out a child of the Emperor had been kidnapped and was never found. Shae had the peculiar blueish, almost black blood of the Imperial line, but Lane never contacted the authorities. After leading a very sheltered and isolated life, Shae ran away around a year and a half ago. Lane doesn't know where they are and if they are alive.",,
38,The death of Anyran Lester (NPC),,"Anyran Lester, Suran Sewi, Aeran Lester, River Galed, Lex Peters",,,Small,"Death of NPC, Surgery",Nice to have,No need,FALSE,,TRUE,"Anyran's parent Aeran Lester, known as ""Doctor Ice"" for his flawless track record, faced their worst nightmare when they discovered her brain tumor. Despite warnings against operating (from Lex Peters and River Galed) on their own daughter, they insisted, believing they were the best. The surgery started strong, but as Aeran attempted to remove the tumor, their hand shook, causing a fatal error that left Anyran brain dead. It was their first failure, shattering their confidence and reputation. Despite attempts to rationalize the loss, the guilt and grief consumed them, leaving Aeran broken.",,
39,The Machine sleeper Malak Kovalenko,,"Malak Kovalenko, Dallan Jordan, Jonah Malone",,,Large,"Sleeper, Android, The Machines",Mandatory,Text NPC,FALSE,,FALSE,"Dallan met Malak during their imprisonment with Machines.
Drew Hollad was the love of Jonah’s life. They betrayed Jonah and then killed themself. Jonah thinks they were either working for the machines or they were an android themself. Drew will show up during the game with a different name (Malak Kovalenko). Jonah thinks Malak Kovalenko, or Drew Holland, was at least partly responsible for the attacks being successful, as the new and superior planetary defence system designed by Jonah did not activate when the enemy attacked.",Someone might message to Malak's pretended parents Szymon or Nadia Kovalenko. See more on plot Malak Kovalenko's parents,
40,Biological parent of Anix - Nicol Wells,Velians,"Anix, Nicol Wells, Keana",,,Small,"Biological parent, Lost relative",Nice to have,No need,FALSE,,FALSE,"Nicol Wells is the biological parent of Anix but doesn't know it. Nicol Wells had been on Velian for several years and they had donated their genes to Velian system to give their gene pool a bit more variation. Anix doesn't know either who their bioparent is.
Keana knows Nicol is Anix's bioparent. Anix has always seem a little bit different than the others.",,
41,Skye Duran and Avery Higashi are siblings,,"Skye Duran, Avery Higashi, Arthur Higashi, Agatha Duran, Rannulf Duran",,,Small,Lost relative,Nice to have,No need,TRUE,6,FALSE,"Rannulf Duran is not the real father of Skye Duran, Arthur Higashi is making Avery Higashi Skye's sibling.",Arthur Higashi and Agatha Duran could both send a message to tell Skye and Avery about this.,
42,Law enforcement play,Law Enforcement,"Ballard Case, Valerian Fukui, Fenix Ellis, Caden Andrews, Kai Rogers, Sasha Romero",,,Large,Law enforcement,Mandatory,Text NPC,FALSE,,FALSE,"https://docs.google.com/document/d/1Jcorej5vnB2H4f7ZikNukzmxoYx08lJ53T1mhm34j-M/edit
Resent crimes:
Cyber attack against purity
Murder of Senator Richard Tremor
Kidnapping of Jose Cain
Murder of Ryane Pearson
Bombing in an administration building
Assassination attempt of the Emperor Aurelia
Attack to Osiris embassy on Ellarion
Car crash of Kit Hobbs
University bombing
Serial killer - Chain strangler
Murder of Misha Kent
Hit and run - Sahara Novak
Kidnapping of Jovian Aurelios Cauruleos
Siklent Petal rhodium necklace robbery",Might need to giove some tips as NPC character,
43,Rebuild civilian goverment,"Politicians, Law Enforcement","Ballard Case, Caden Andrews, Harper Ellis, Jin Komatsu, Pax Houghton, Kai Rogers, Leigh Kent, Julia Aurelios Cauruleos, Jordan Washington",,,Large,"Politics, Blue Party, Yellow Party, Purple Party, Dynasties, Imperial",Mandatory,Text NPC,,,FALSE,,,
44,Firing Atlantis 3,Atlantis,"Xavier Blake, Alia Swanson, Ballard Case, Zyra Lee, Malak Kovalenko, Lane Thomas, Lane Hayakawa",,,Small,"Icarus, Mental illness, Firing Atlantis",Mandatory,No need,FALSE,,FALSE,"While Alia Swanson was piloting ESS Icarus, Admiral Blake suddenly went berserk, firing weapons at the space station Atlantis, mistaking it for enemy machines. Despite Alia's efforts to stop them, two missiles hit their target before Blake snapped out of it, realizing their mistake and breaking down in tears. Alia quickly disabled the weapons system and reassured Atlantis it was a mistake. After securing Blake, Marine Zyra Lee and Malak Kovalenko entered, alarmed by the situation. With urgency, Alia ordered them to prepare for docking, despite their confusion. 
Ballard Case are determined to see that there are consequences for the missile ‘accident’ upon arrival of Icarus and that Admiral Xavier Blake provides a thorough report.
Lane Thomas/Hayakawa doesn't believe it was malfunction when Icarus fired Atlantis. Soon after their arrival, the Machines came. ",,
45,Pax Houghton - father of Ballard Case,Criminals,"Ballard Case, Evelyn Case, Pax Houghton, Remi Sharp, Lonnie Gordon",,,Small,Lost relative,Should have,Text NPC,TRUE,8,FALSE,"Evelyn case is the mother of Ballard Case, the father is Pax Houghton (no markings of this in the database though). 
Pax fell in love with Evelyn (propably the only person Pax has ever really loved). When Evelyn found out about Pax's criminal life they had a huge fight and then Evelyn took the baby and left. Pax could have used their connections to stop Evelyn and force them to stay with them but Pax didn't want to destroy Evelyn's feelings towards them. Pax followed Evelyn's and Ballard's life from the shadows and made sure they were doing OK. Pax even secretly supported Ballard's studies and career.
Lonnie Gordon knows Evelyn is the mother and Pax is the father of Ballard Case",,
46,Car crash of Kit Hobbs (NPC),,"Kit Hobbs, Beva Drugov, Eugenie Russell, Espen Nakahara",,,Small,"Death of NPC, Car crash",Nice to have,No need,FALSE,,FALSE,"Four years ago there was a car accident between high ranking member of Wisdom dynasty Espen Nakahara and Caelena born military personnel Kit Hobbs (NPC). Espen got only mild injuries while Hobbs, who had been the driver of the other car, died instantly. There were speculations that drugs were involved and investigations unanimously found Espen responsible for the accident but in the end no charges were filed.    
Espen Nakahara drove the car which killed Kit Hobbs. Espen wasn't trialed. Eugenie Russell and Beva Drugov wants justice.
Espen was the Dynasty heir of the Wisdom Dynasty until the accident.",,
48,Malak Kovalenko's parents,,"Malak Kovalenko, Szymon Kovalenko, Nadia Kovalenko, Beva Drugov",,,Small,"Sleeper, Android",Mandatory,Text NPC,TRUE,,,"https://docs.google.com/document/d/1v9lTiTOpMJ2bgfWnSh9UBWFJLuBlOrKas2SrHYd0hQM/edit?usp=drive_link
Szymon Kovalenko is a local farmer from the same town Beva Drugov grew up in, Bredon. Szymon didn’t have any children but they used to bring vegetables to the orphanage where Beva were and played with the children. According to the news article Szymon was injured when a plane crashed in Bredon.

Nadia Kovalenko does not exist, it was invented by the Machines and added to the database to fool Malak. AI was pretending to be Nadia and sent messages to Malak.",Someone might message to Malak's pretended parents Szymon or Nadia Kovalenko.,
49,Jodey's bomb,,"Jodey Agaki, Blake Ishimoto, Merissa Voight",53,AVK-012,Large,"Bomb, The Machines",Should have,Briefing Character,FALSE,18,FALSE,"Jodey is on the brink of a breakthrough with their research into an AVK-012 infused altered araknium bomb. If Jodey succeeds, they believe it could be the one thing that would help humans beat the Machines.
Developing the weapon enhancer that will make the starcaller mission possible. See plot Starcaller mission.",Puzzle,
50,Murder of Ryane Pearson (NPC),"Scientists, Security","Ryane Pearson, Devyn Pearson, Remy Hall, Briana Chambers, Hali Okuma, Idris Kalashnik, Idris McBride, Jodey Agaki",,,Small,"Murder, Death of NPC",Mandatory,No need,FALSE,,FALSE,"Nine months ago several people witnessed how Ryane Pearson (NPC) fell from the balcony of their apartment building and many claimed that there was another person with them at the time. Regardless of the first aid, Ryane died on site. Later on the police were able to use video surveillance feed to determine that the other person in the balcony was Ryane’s spouse, scientist Devyn Pearson and they appeared to push their spouse down from the balcony. Devyn had embarked on the day of the incident to a nine month long science mission and was charged and found guilty as absentee to be imprisoned as soon as they would return to Ellarion.  
Devyn Pearson murdered their wife Ryane Pearson. Devyn was Briana Chambers' (psychiatrist) patient and they didn't see it coming. Devyn doesn't remember anything about killing Ryane.
Idris Kalasnik was having an affair with Ryane.
Jodey doesn't think this makes any sense and is sure that Devyn is innocent.",Devyn Pearson starts from the brig,
51,"The way home, The Genesis mystery",All,,,,Large,Genesis,Mandatory,Briefing Character,FALSE,,FALSE,,,
52,Artifacts found during Elder's heart mission,"Scientists, Engineers",,,,Large,"Alien artifacts, Elder's Heart",Mandatory,Briefing Character,FALSE,,FALSE,,,
53,Pregnant Osha Green,,"Osha Green, Hale Green, Heath Steele",,,Small,Pregnant,Nice to have,No need,FALSE,,FALSE,"Osha Green has engaged in a forbidden romance with Heath Steele, betraying their husband, Hale Green and is now pregnant Heath's child.",,
54,Hit and run - Sahara Novak (NPC),"Law Enfocement, Purity","Caden Andrews, Leone Mills, Sahara Novak, Elya Andrews, Corey Mills",,,Small,"Death of NPC, Car crash",Nice to have,No need,FALSE,,FALSE,"Fifteen years ago there was a hit and run where a woman Sahara Novak (NPC) was found after being hit by a car. Sahara later died in the hospital from her injuries and left behind a 13-year-old child Leone Mills. The driver was never caught. 
15 years ago Caden Andrews accidenttaly drove over Sahara Novak. Sahara was the mother of Leone Mills. Incident forced Caden to push Leigh Kent away. This was covered by Caden's mother fleet commander Elya Andrews.
The incident also affected on Leone's life. When their mother died Leone was forced to go live with their father Corey Mills. Corey wanted to make Leone a Purity assassin and used Leone to kill several people among Aran Arima and Misha Kent (see plots Death of Aran Arima (NPC) and Murder of Misha Kent (NPC).",,
55,Amira Andrews is alive,,"Amira Andrews, Caden Andrews, Elya Andrews",,,Small,Alive,Should have,Briefing NPCs,TRUE,15,FALSE,Caden has lost family spouse Aydan and daughter Amira. They were on Ellarion during the Machine attacks. Caden knows Amira is dead. Caden will find out through mother Elya that child is alive in the last day of the larp.,Remember to inform either by message or in person as Elya that Amira survived!,
56,Nolan Hunter and Gale Chapman fling,,"Gale Chapman, Nolan Hunter, Beth Chapman, Lex Peters, Kerrie Ray",,,Small,Relationship,Should have,Text NPC,TRUE,7,FALSE,"Nolan Hunter and Gale Chapman has an affair even though it is forbidden to have relationships with team mates. Lex Peters told Gene's mother about this so Beth could contact Gene and make them end the relationship. Gale has done this before with Kian and that ended badly (see more on The death of Kian Savage). 
So far they haven't done anything but it is only a matter of time.",Send message to Gene as their mother Beth,
57,Android Gallan Reid,,"Gallan Reid, Evin Reid, Cal Allen, Alix Granville, Kiran Norris, Idris Kalashnik, Idris McBride",,,Medium,"Android, The Machines",Mandatory,Briefing Character,FALSE,,FALSE,"Machine-made android
Evin Reid created Gallan Reid and hacked the system to look like Gallan is their sibling. 
Cal Allen has security clearance high enough to know about Evin and Gallan. 
Idris Kalashnik made friends with Gallan when they visited Solaris 7. Idris doesn't know Gallan is a machine.",,"Brief: Project Gallan
The following is a summary of the relevant information your character has learned from and about Gallan. We suggest going through this information with Gallan’s player, to make sure you are on the same page regarding what your character knows. You can also ask Gallan’s player to share more information beforehand, either as meta or ingame information, if it feels like knowing more would make your game better.
Gallan’s android body is similar to Devyn’s: almost indistinguishable from real human bodies, hard but not impossible to destroy, self-healing etc. All the information in the brief about androids holds true for Gallan. What you have learned by studying them only confirms your earlier findings.
Gallan’s mind seems to have a human origin and is somehow connected to the Genesis ships which centuries ago brought humans to the Arati system.
Gallan remembers being a human scientist onboard one of these ships.
Gallan remembers having a family: mother, father, older sister. Sadness is connected to these memories, but they do not remember why.
The Genesis ship Gallan lived on was searching for the source of a signal they had first received generations ago. The ship separated from the rest of the fleet and, for reasons Gallan cannot quite explain, released a virus which corrupted the databases of the other ships. Gallan remembers they found the source of the signal, but cannot remember what they found there.
Something is blocking your access to parts of Gallan’s consciousness. You can see their memory holds more information than what currently manifests as the personality calling itself Gallan.
You have not shared this observation with Gallan, but there is also something that looks like a damaged communication protocol. Most likely it was damaged by your students’ attempts to restore Gallan.
When Gallan first woke up, they mentioned the word ‘Nest’ and expressed a need to get back somewhere. Later they have not been able to explain what they meant.
You have a theory that the ‘Nest’ has something to do with the Machines, that it might be a space station, starship or a planet. Gallan has neither confirmed nor denied this hypothesis."
58,Hayden Carson's real parent is Cal Allen,,"Cal Allen, Salma Taylor, Hayden Carson",,,Small,Lost relative,Should have,Text NPC,TRUE,,FALSE,"Hayden Carson knows that their real father is Cal Allen. Cal doesn't know that Hayden is their child.
Salma Taylor was the one that got away from Cal Allen. Salma was a fellow soldier in the same unit as Cal. Cal knew immediately that they would become ""something"". They fought together in battles, worked together on special operations and loved each other in private. Military code formids relationships between soldiers of the same unit so they had to keep the relationship secret. Secrecy was both exciting and a burden. Salma wanted to settle down and start a family. After 8 years of being together Salma quit military and quit the relationship too since Cal wasn't ready to leave military too. Cal went on a 16 month science mission and seeked her out after it. Salma had found a new partner Joe Carson (NPC) and they were pushing a baby pram (Hayden Carson). Haden looked just like Salma. ",Salma is alive and should send a message to Cal to tell them about this unless Hayden tells Cal first and Cal messages Salma.,
59,Starcaller Sabotage,"Security, Marines",Dallan Jordan,4,,Medium,"Sabotage, Starcaller",Mandatory,No need,FALSE,0,FALSE,"Dallan sabotaged starcaller engines after seeing a bomb. Dallan wanted to live and not die for common good. 

Emergency transmitter?",,
60,Machine device to call the machines,Engineers,Dallan Jordan,,MACH-564,Medium,The Machines,Should have,Text NPC,FALSE,,FALSE,"The transponder (a device for receiving a radio signal and automatically transmitting a different signal) is broken (Dallan dropped it when hurrying to pack), so Dallan can’t use it right now and the Machines also can’t use it to track Dallan's location. If Dallan wants to use it again, Dallan needs to find someone to fix it.","GMs might need to chat with Dallan as ""the Nest""",
61,Betty on Starcaller,Marines,"Idris Kalashnik, Idris McBride, Dallan Jordan, Cal Allen, Tyler Carrillo, Skye Duran","4, 53",,Large,"Bomb, Starcaller",Mandatory,Briefing Character,FALSE,,FALSE,"Betty is a bomb. Backup plan to kill the Machines during the Starcaller mission. Dallan Jordan saw the bomb. Gamma team is hiding the bomb. 
Read more from Starcaller brief: https://docs.google.com/document/d/1QxZmAK3dljm4kTHImoI_340K4WQltwarcmMIQsjSeCU/edit",,
62,Silent Petal - Rhodium necklace,"Criminals, Law enforcement","Shae Thomas, Espen Nakahara, Pax Houghton, Lonnie Gordon, Jose Cain, Aeran Lester, Remi Sharp, Hedly Walker",,JW2888,Medium,Necklace,Should have,Briefing Character,FALSE,,FALSE,"Zodiac Web decided to steal the Silent Petal and sent Shae Thomas and Espen Nakahara to steal it. They fucked it up but luckily Pax saw this and sent another ZW guy to hack the safe while Shae and Espen were talking with the owner. The ZW guy got cought during the mission but managed to give pendant to Espen and Shae. The buyer dropped out last minute and now they need to find it a new buyer. Espen doesn't want to let go of the necklace since it's their ""precious"". It seems to soothe Espen and they don’t want to hand it over.","Might need to brief characters that the rhodium in the necklace can be used in Jodey Agaki's research (the bomb)
Maybe some NPC is ready to buy the necklace and the need to try to give it during one of the visit to someone but fails in it?",
63,Assassination attempt of the Emperor Aurelia,"Law Enforcement, Gray Scorpio","Maron Richard, Deron Richard, Hali Okuma, Glen Hollow, Aurelia Augustos Cauruleos, Valerian Fukui, Eva Ellis, Julia Aurelios Cauruleos, Jordan Washington, Jovian Aurelios Cauruleos, Shae Thomas, Juno Aurelios Cauruleos, Kerrie Ray",,,Medium,"Gray Scorpio, Assassination",Mandatory,Briefing Character,FALSE,,FALSE,"About a year ago the Emperor was having a speech that was cut short by a gunshot. Emperor's bodyguard Glen Hollow had shot a person closing the Emperor with a gun. Several witnesses stated that they too had seen a gun but it was never recovered on site, there was only a broken camera on the ground next to the victim. The victim was Maron Richard (NPC) the son of a very influential member of Strength dynasty David Richard (NPC) and a grandson of Senator Richard Tremor (NPC). Case was investigated but eventually no charges against Glen Hollow were raised.
Maron Ricahrd was a member of Gray Scorpio and they were going to make an assassination attempt against the Emperor. Before they did anything though, someone accidentally pushed them and that made a bodyguard act. The bodyguard shot Richard in the shoulder, and the crowd panicked. In the following mayhem Hali Okuma managed to run close enough to take Maron Richard’s gun, pretending to be just rushing there to help. Soon the bodyguard Glen Hollow was there, too. He was quickly taking care of the situation like a professional, but for some reason Maron just didn’t stop bleeding. When Hollow went to call for more help, Maron quickly reached inside their pocket and took out a letter, pushing it to Hali. They made Hali promise they would take it to their sibling, Deron Richard.",Hali Okuma has a letter for Deron from Maron,
64,Gray Radio,,"Nickie Ramirez, Hali Okuma, Lonnie Gordon, Jill Montoya, Torrey Watson, Vic Garrett, Homura Denbe",,,Medium,"Gray Scorpio, Gray Radio",Mandatory,Briefing Character,FALSE,,FALSE,"Pirate radio which proadcasts ""news"" and rumors.
Jill Montoya found out how to tap into Gray Radio and is suggested to tell Torrey Watson about it.",Jill Montoya has a radio with them.,
65,Murder of Senator Richard Tremor (NPC),Criminals. Law Enforcement,"Richard Tremor, Nico Lawrence, Jona Davis, Deron Richard, Harper Ellis, Fenix Ellis, Eva Ellis, Samantha Richard, Yuri Mills, Jin Komatsu, Valerian Fukui, Kai Rogers, Roman Plichata, Elan Nieze",,,Medium,"Politics, Zodiac Web, Assassination, Death of NPC, Purity",Should have,Briefing NPCs,TRUE,10,FALSE,"On the night before the attack the newly appointed leader of the Purple party and a several term senator Richard Tremor (NPC) was shot in his sleep. Tremor was an esteemed politician who wasn’t afraid to hold his ground and even go against his own dynasty - Purity.
Richard Tremor was a Senator who was murdered by ZW hitman Nico Lawrence (cover identity Jona Davis). The hit was ordered by Purity. Richard was an advocate of a more moderate Purity and he headed a moreate wing of the Purple Party that sparked talk of splitting off and joining a different party and dynasty. ZW and Purity wanted to leave no trails so it was decided that the hitman Nico Lawrence should be killed after the hit but then the Machines attacked. It is Lonnie Gordon's job to tie up the loose end (Nico Lawrence) somehow.
Roman Plichata knows what happened to Richard Tremor.",If Purity things aren't evolving NPC can tip this.,
66,Tampering the votes making Richard Tremor (NPC) a Senator,,"Lonnie Gordon, Kai Rogers, Richard Tremor, Yuri Mills, Leigh Kent",,,Small,"Politics, Purple Party, Zodiac Web, Elections",Nice to have,No need,FALSE,,FALSE,"Lonnie Gordon (Zodiac Web) and Kai Rogers helped Richard to win a place as a Senator by tampering the votes. Purple Party had a row who would be the next Party Leader and they decided that whom ever gets more votes on Senator elections would be the next party leader. The opponent was Yuri Mills.
Leigh Kent believes that the Senator post would have been rightfully theirs since they lost only by a little especially if the rumors are true that the election was rigged. Tampering the votes didn't have anything to do with Leigh losing in the elections.",,"Kai Rogers
Several months before the elections, the Purple party was in a volatile position because the previous party leader had announced that they were not going to run again, and would quit the senate after these elections. There was a power vacuum in the party, and both our moderate wing and the radical wing were desperate to fill it: whoever became the new party leader would have a huge impact on the direction the party would take in the next few years. After months of campaigning and negotiating, two candidates, senators Richard Tremor (NPC) from the moderate end of the party and Yuri Mills from the radical one, were running neck and neck and neither side wanted to give in to the other. Finally, three months ago, the party decided that it would not be a good look if we can’t even choose a leader. We finally came to the agreement that whomever, Tremor or Mills, would get more votes in the elections would get the party leader position. It might even benefit our party if the voters felt they could participate in a battle of two great leaders.
Both wings were polling the votes regularly, and we in the moderate wing did not like how the situation was developing. We heard that behind the scenes the radical wing was running a smear campaign on Tremor, spreading rumors and blatant lies about him. And that was probably only the tip of the iceberg as they were surely using all means necessary to secure a win. Tremor was popular too: he was a legend, long term senator and a decent human being who wasn’t afraid to stand against Purity, his own Dynasty, when it was necessary. But it looked like Mills would win by a close margin. Mills was the puppet of the most radical members of the party, and Kai was very worried what they would do when grasping the power over the party.
As the elections came closer and it seemed Mills would definitely win over Tremor, we had to act. Gordon recruited a hacker, Kai pulled together the funding, and a small but significant number of final votes were soon registered in support of Tremor instead of Mills. 
So it was done: Tremor secured the party leader positions, and Mills was left as a runner-up."
67,Velian embryos,Velians,,,VE-342,,Embryos,,Briefing Character,FALSE,,FALSE,,,
68,Bombing in an administration building,Law Enforcement,"Lonnie Gordon, Nickie Ramirez, Jude Gardner, Roger Hammer, Yuri Mills, Leigh Kent, Raul Fant",,,Small,"Gray Scorpio, Bomb, Death of NPC",Nice to have,Text NPC,FALSE,,FALSE,"10 months ago there was an explosion on the administration building in the center of Ellarion City where a political gathering between the Yellow party and the Purple party was being held along with several other smaller negotiations. Senator candidates Yuri Mills from the Purples and Leigh Kent from the Yellows had just left the building and avoided the explosion. Their personal assistants Roger Hammer (NPC) and Raul Fant (NPC), along with several other party members weren’t as lucky. In total there were 13 deaths and several injured. Few days later an anarchist group called Gray Scorpio claimed the attack was done by their operatives. 
10 months ago Jude Gardner asked Lonnie, who asked Nickie Ramirez, to deliver a package to a restricted building. The package was a bomb which was suppose to kill some politicians. ",Might need messages from Gray Scorpio operatives,
